Tariff ID,PDF
TN0001,ActewAGL 2017-18
TN0002,Ausgrid 2017-18
TN0003,CitiPower 2017-18
TN0004,Endeavour Energy 2017-18
TN0005,Energex 2017-18
TN0006,N/A
TN0007,N/A
TN0008,Essential Energy 2017-18
TN0009,Jemena 2017-18
TN0010,Powercor 2017-18
TN0011,TasNetworks 2017-18
TN0012,United Energy 2017-18
TN0013,Ergon Energy 2017-18
TN0014,Ergon Energy 2017-18
TN0015,N/A
TN0016,N/A
TN0017,AusNet 2017-18
TN0018,N/A
TN0019,N/A
TN0020,SAPN 2017-18
TN0021,ActewAGL 2017-18
TN0022,Ausgrid 2017-18
TN0023,AusNet 2017-18
TN0024,Endeavour Energy 2017-18
TN0025,Energex 2017-18
TN0026,Ergon Energy 2017-18
TN0027,Ergon Energy 2017-18
TN0028,Essential Energy 2017-18
TN0029,Jemena 2017-18
TN0030,Powercor 2017-18
TN0031,TasNetworks 2017-18
TN0032,United Energy 2017-18
TN0033,ActewAGL 2017-18
TN0034,CitiPower 2017-18
TN0035,Energex 2017-18
TN0036,Ergon Energy 2017-18
TN0037,Ergon Energy 2017-18
TN0038,Ergon Energy 2017-18
TN0039,Ergon Energy 2017-18
TN0040,Ergon Energy 2017-18
TN0041,Jemena 2017-18
TN0042,Powercor 2017-18
TN0043,SAPN 2017-18
TN0044,TasNetworks 2017-18
TN0045,United Energy 2017-18
TN0046,CitiPower 2017-18
TN0047,Ergon Energy 2017-18
TN201901,United Energy 2019-20
TN201902,United Energy 2019-21
TN201903,United Energy 2019-22
TN201904,United Energy 2019-23
TN201905,United Energy 2019-24
TN201906,United Energy 2019-25
TN201907,Powercor 2019-20
TN201908,Powercor 2019-21
TN201909,Powercor 2019-22
TN201910,Powercor 2019-23
TN201911,Powercor 2019-24
TN201912,Powercor 2019-25
TN201913,CitiPower 2019-20
TN201914,CitiPower 2019-21
TN201915,CitiPower 2019-22
TN201916,CitiPower 2019-23
TN201917,CitiPower 2019-24
TN201918,CitiPower 2019-25
TN201919,AusNet 2019-20
TN201920,AusNet 2019-21
TN201921,AusNet 2019-22
TN201922,AusNet 2019-23
TN201923,AusNet 2019-24
TN201924,AusNet 2019-25
TN201925,AusNet 2019-26
TN201926,AusNet 2019-27
TN201927,Jemena 2019-20
TN201928,Jemena 2019-21
TN201929,Jemena 2019-22
TN201930,Jemena 2019-23
TN201931,Jemena 2019-24
TN201932,Jemena 2019-25
